Variables,Variables,Size Of Impact,,,,Variables,Map,,,
Seasonality__Christmas_Day,Christmas,-0.028589766,,,,Seasonality__Christmas_Day,Christmas,,,
Seasonality__Boxing_Day_BH,Boxing Day Bank Holiday,-0.028589766,,,,Seasonality__Boxing_Day_BH,Boxing Day Bank Holiday,,,
Seasonality__Christmas_BH,Christmas Bank Holiday,-0.028589766,,,,Seasonality__Christmas_BH,Christmas Bank Holiday,,,
Super_Bacon_Media__Press__Spend,Newspaper Advertisement Spend,-0.037570841,,,,Super_Bacon_Media__Press__Spend,Newspaper Advertisement Spend,,,
Month_8,August,-0.041333999,,,,Month_8,August,,,
Seasonality__Fathers_Day,Fathers Day,-0.048564659,,,,Seasonality__Fathers_Day,Fathers Day,,,
Month_7,July,-0.049201376,,,,Month_7,July,,,
Month_6,June,-0.061469163,,,,Month_6,June,,,
Economy_Consumer_Confidence_Index_,Confidence Index ,-0.06329107,,,,Economy_Consumer_Confidence_Index_,Confidence Index ,,,
Month_9,September,-0.087769085,,,,Month_9,September,,,
Promos__Super_Bacon_Thick_681g_TPR,Temporary Price Reduction Promotion 681g,-0.094838162,,,,Promos__Super_Bacon_Thick_681g_TPR,Temporary Price Reduction Promotion 454g,,,
kg_Avg_Price_Super_Bacon_Thick_454g,Price Of 454g Bacon,-0.121316677,,,,kg_Avg_Price_Super_Bacon_Thick_454g,Price Of 454g Bacon,,,
Promos__Super_Bacon_Thick_681g_Half_Price,Half Price Promotion 681g,-0.149698746,,,,Promos__Super_Bacon_Thick_681g_Half_Price,Half Price Promotion 681g,,,
