Date_week_commencing_Saturday,Month,Volume_in_KG_of_sales_of_pack,Average_Price,Average_Price,PromotionLow_Display,Promotion_Display,Promotion_Other,Promotion_Money_Off,Promotion_Money_Back,Promotion_2_for_3,Promtion_Temporary_Price_Reduction,Promotion_Display,Promtion_Temporary_Price_Reduction,Promotion_Half_Price,Promotion_Display,Promotion_Money_Off,Consumer_confidence_from_GSK,Google_trends_of_the_term_horse_meat_scandal,Television_advert_spend,Newspaper_advert_spend,total_Spend_on_the_facebook_advertising,Spend_of_Television_sponsorship_sponsoring_the_TV_show,UK weather,UK weather,UK weather,UK weather,Dummy variable,Dummy variable,Bank Holiday (BH)Dummy variable,Bank Holiday (BH)Dummy variable,Bank Holiday (BH)Dummy variable,Bank Holiday (BH)Dummy variable,Dummy Variable,Dummy Variable,Bank Holiday (BH)Dummy variable,Bank Holiday (BH)Dummy variable,Bank Holiday (BH)Dummy variable,Dummy Variable,Dummy Variable,Dummy Variable,Dummy Variable,Dummy Variable,Dummy Variable
Date,Month,Volume_Super_Bacon_Thick_454g,kg_Avg_Price_Super_Bacon_Thick_454g,kg_Avg_Price_Super_Bacon_Thick_681g,Promos__Super_Bacon_Thick_454g_lowDisp,Promos__Super_Bacon_Thick_454g_Disp,Promos__Super_Bacon_Thick_454g_Other,Promos__Super_Bacon_Thick_454g_low_Money_Off,Promos__Super_Bacon_Thick_454g_MB,Promos__Super_Bacon_Thick_454g_2for3pn,Promos__Super_Bacon_Thick_454g_TPR,Promos__Super_Bacon_Thick_681g_Disp,Promos__Super_Bacon_Thick_681g_TPR,Promos__Super_Bacon_Thick_681g_Half_Price,Promos__Super_Bacon_Thin_340g_Disp,Promos__Super_Bacon_Thin_340g_Money_Off,Economy_Consumer_Confidence_Index_,Horse_Meat_Scandal,Super_Bacon_Media__Bacon__TV_Spend,Super_Bacon_Media__Press__Spend,Super_Bacon_Media__Facebook_Spend,Super_Bacon_Media__TV_Sponsorship,Seasonality__Average_Temperature_C,Seasonality__Snow_,Seasonality__Precipitation_,Seasonality__Sunshine_,Seasonality__New_Years_Day,Seasonality__Valentines_Day,Seasonality__Easter_Monday_BH,Seasonality__Early_May_BH,Seasonality__Spring_BH,Seasonality__Summer_BH,Seasonality__Christmas,Seasonality__New_Years_Eve,Seasonality__Royal_Wedding_BH,Seasonality__Diamond_Jubilee_BH,Seasonality__All_Bank_Holidays,Seasonality__2012_London_Olympics,Seasonality__2011_Riots,Seasonality__Football_Euros,Seasonality__Mothers_Day,Seasonality__Fathers_Day,Seasonality__St_Patricks_Day
16/03/2013,3,19782.1,5.269197911,3.053402083,0,0,0,0,0,0,0,0,0,0.213724436,0,0,-26.37142857,15,0,0,0,0,3.263325909,3.25,12.69923036,3.617346939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23/03/2013,3,24570,5.318323158,4.839226764,0,0,0,0,0,0,0,0,0,0,0,0,-26.57142857,10,0,0,0,0,3.451456218,6.142857143,25.7698199,1.333144369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30/03/2013,3,30625,5.300143673,5.106245727,0,0,0,0,0,0,0,0,0,0,0,0,-26.77142857,9,0,0,0,0,2.450268641,25.66666667,0.94522863,3.403061224,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
06/04/2013,4,20501.7,5.357638635,2.696799229,0,0,0,0,0,0,0,0,0,0.426070624,0,0,-26.88265306,6,0,0,0,0,4.997806506,0.03030303,0.539199561,6.760204082,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13/04/2013,4,16482.5,4.991415137,2.61397857,0,0,0,0,0,0,0,0.284047083,0,0.497082395,0,0,-25.92857143,6,0,22282,0,0,7.135445304,0,11.84116461,3.609599395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/04/2013,4,13507,4.682290664,2.57716689,0,0,0,0,0,0,0,0.284047083,0,0.497082395,0,0,-24.67857143,6,0,9598,0,0,11.40751561,0,14.44400896,5.679516251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/04/2013,4,19356.7,5.043328667,3.031868363,0,0,0,0,0,0,0,0,0,0.213035312,0,0,-23.42857143,5,0,0,0,0,10.30963358,0,9.605263158,5.566326531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/05/2013,5,23302.9,5.133275258,4.823281936,0,0,0,0,0,0,0,0,0,0,0,0,-22.23979592,4,0,0,0,0,10.69181523,0,9.388020717,7.318972033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/05/2013,5,26902.7,5.155906284,5.106695949,0,0,0,0,0,0,0,0,0,0,0,0,-21.78571429,4,0,0,0,0,12.76879296,0,12.80623329,5.558171987,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
18/05/2013,5,47666.8,4.522938397,5.027000316,0,0.057492438,0,0,0,0,0.114984876,0,0,0,0,0,-21.53571429,3,0,0,0,0,10.21101476,0,25.37597624,5.156578871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/05/2013,5,64801.2,4.385344716,4.878501614,0,0.201223533,0,0,0,0,0.201223533,0,0,0,0,0,-21.28571429,3,0,0,4778.78,0,11.61220884,0,6.560375486,5.441043084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/06/2013,6,66283.5,4.405395008,5.10048797,0,0.201223533,0,0,0,0,0.201223533,0,0,0,0,0,-20.98979592,2,0,0,4778.78,0,13.39948238,0,15.83072788,6.308012094,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
08/06/2013,6,67705,4.399743003,5.124440539,0,0.201223533,0,0,0,0,0.201223533,0,0,0,0,0,-20.14285714,2,0,0,4778.78,0,16.28385716,0,1.032490096,9.583522298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/06/2013,6,66751.2,4.386133882,5.110709183,0,0.201223533,0,0,0,0,0.201223533,0,0,0,0,0,-19.14285714,2,0,0,0,0,14.56738084,0,15.34844298,4.276077098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/06/2013,6,61172.9,4.389961895,5.023085278,0,0.114984876,0,0,0,0,0.201223533,0,0,0,0,0,-18.14285714,2,0,0,0,0,16.20888484,0,9.313421053,4.017195767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29/06/2013,6,37369.6,4.68751338,5.054963394,0,0,0,0,0,0,0.057492438,0,0,0,0,0,-17.14285714,1,0,0,0,0,15.07080301,0,11.04857456,3.782123961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
06/07/2013,7,30593.2,5.146561981,5.122253427,0,0,0,0,0,0,0,0,0,0,0,0,-16.15816327,0,0,0,2741.484,0,17.1016278,0,7.362642544,6.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13/07/2013,7,29555.4,5.147032353,5.104927503,0,0,0,0,0,0,0,0,0,0,0,0,-15.35714286,0,0,0,2741.484,0,20.44695098,0,0.413311404,10.06632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20/07/2013,7,26666.6,5.131711579,5.09390903,0,0,0,0,0,0,0,0,0,0,0,0,-14.60714286,0,0,0,2741.484,0,21.74035638,0,0.749913505,9.415064248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27/07/2013,7,26652.5,5.159714849,5.09613472,0,0,0,0,0,0,0,0,0,0,0,0,-13.85714286,0,0,0,0,0,20.52875482,0,13.65840769,5.901534973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/08/2013,8,27465.2,5.170044274,5.085976304,0,0,0,0,0,0,0,0,0,0,0,0,-13.11632653,0,0,0,0,0,19.44688685,0,30.48609728,5.680555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/08/2013,8,50749,4.559114465,5.084617837,0,0,0,0,0,0,0.120746667,0,0,0,0,0,-12.48571429,0,0,0,0,0,17.82882578,0,17.88567833,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17/08/2013,8,62276.1,4.409484537,4.970716388,0,0,0,0,0,0,0.169045334,0,0,0,0,0,-11.88571429,0,0,0,0,0,17.50935528,0,16.46083276,4.173091459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24/08/2013,8,63342.5,4.393348857,5.01224487,0,0,0,0,0,0,0.169045334,0,0,0,0,0,-11.28571429,0,0,0,0,0,18.1143138,0,11.73447077,4.443310658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/08/2013,8,63619.9,4.405036789,4.884103008,0,0,0,0,0,0,0.169045334,0,0,0,0,0,-10.68571429,0,0,0,0,0,17.84211012,0,3.890757264,5.424603175,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
07/09/2013,9,63349.3,4.398530055,4.874486543,0,0,0,0,0,0,0.169045334,0,0,0,0,0,-10.1377551,0,0,0,0,0,16.96771736,0,14.16808511,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/09/2013,9,61144.7,4.393478094,4.93886108,0,0,0,0,0,0,0.169045334,0,0,0,0,0,-10.21428571,0,0,0,0,0,13.76917945,0,18.53280714,3.124285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/09/2013,9,35761.1,4.710271776,4.470451139,0,0,0,0,0,0,0.072448,0,0.124109258,0,0,0,-10.46428571,0,0,0,0,0,13.11182638,0,18.06546938,3.047857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/09/2013,9,22516.6,5.110203139,4.372208966,0,0,0,0,0,0,0,0,0.144794134,0,0,0,-10.71428571,0,0,0,0,0,15.1630497,0,3.90052644,3.146428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/10/2013,10,21648.1,5.138681917,4.388627814,0,0,0,0,0,0,0,0,0.144794134,0,0,0.234406249,-10.96428571,0,0,0,0,0,14.80823961,0,12.07132867,2.655331263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12/10/2013,10,47917.4,4.511843297,4.589144487,0,0,0,0,0,0,0.119394642,0,0.062054629,0,0,0.200919642,-11.21428571,0,0,0,0,0,12.31725697,0,6.66993007,3.289285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/10/2013,10,64430.3,4.400379945,4.760550199,0,0,0,0,0,0,0.167152499,0,0,0,0,0,-11.46428571,0,0,0,0,0,11.47234604,0,16.62237762,1.906428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26/10/2013,10,66552.3,4.404065675,5.019516495,0,0,0,0,0,0,0.167152499,0,0,0,0,0,-11.71428571,0,0,0,0,0,12.95032781,0.129032258,21.93566434,2.115714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/11/2013,11,42539.8,4.681747446,2.698015115,0,0,0,0,0,0,0.095515714,0,0,0.355710359,0,0,-11.96122449,0,0,0,0,0,10.13202942,0.164516129,22.27412587,2.779761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09/11/2013,11,23562.1,4.935481133,2.568603322,0,0,0,0,0,0,0,0.284568287,0,0.497994502,0,0.254487875,-12.17142857,0,0,0,0,0,7.1776841,4.451612903,18.38601399,2.728809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16/11/2013,11,22097.5,4.813530942,2.566481109,0,0,0,0,0,0,0,0.213426215,0,0.497994502,0,0.254487875,-12.37142857,0,0,0,0,0,7.860634228,0,8.654545455,3.023809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23/11/2013,11,50731.3,4.482433921,2.844935769,0,0,0,0,0,0,0.133538989,0,0,0.213426215,0,0.145421643,-12.57142857,0,0,0,0,0,5.093405023,0,8.738461538,2.497142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30/11/2013,11,63302.6,4.457275057,4.789994637,0,0,0,0,0,0,0.155795488,0,0,0,0,0,-12.77142857,0,0,0,0,0,6.812385121,0,2.230769231,1.268095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
07/12/2013,12,61301.8,4.465309338,5.057353725,0,0,0,0,0,0,0.155795488,0,0,0,0,0,-12.86734694,0,0,0,0,0,6.004720899,0,5.833566434,1.158809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14/12/2013,12,37536.7,4.825317622,4.484005936,0,0,0,0,0,0,0.066769495,0,0.120102641,0,0,0,-11.71428571,0,0,0,0,0,8.826750319,0,7.651748252,1.032619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21/12/2013,12,28966.1,5.272418448,4.400704017,0,0,0,0,0,0,0,0,0.140119748,0,0,0,-10.21428571,0,0,0,0,0,7.917739471,0,22.26713287,1.270714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28/12/2013,12,27147.8,5.283080029,4.396130902,0,0,0,0,0,0,0,0,0.140119748,0,0,0,-8.714285714,0,0,0,0,0,5.846956696,0,26.52727273,1.771428571,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
04/01/2014,1,49421.1,4.70774224,4.509657596,0,0,0,0,0,0,0.132100577,0,0.06005132,0,0,0,-7.306122449,0,0,0,0,0,6.595321304,0,35.7013986,1.6,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
11/01/2014,1,59239.3,4.466511252,5.11245399,0,0,0,0,0,0,0.15411734,0,0,0,0,0,-7,0,0,0,0,0,7.122689585,0,26.28568443,2.171428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18/01/2014,1,57208.5,4.471232422,5.057624802,0,0,0,0,0,0,0.15411734,0,0,0,0,0,-7,0,0,0,0,0,6.443406044,0,28.56214734,1.342857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25/01/2014,1,33781.7,4.82620472,4.470795969,0,0,0,0,0,0,0.044033526,0,0.11559254,0,0,0,-7,0,0,0,0,0,5.583914424,0,29.01599257,1.503571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/02/2014,2,21913.2,5.216914919,4.393052389,0,0,0,0,0,0,0,0,0.134857964,0,0,0.248651305,-6.969387755,0,0,0,0,0,5.295590179,0,37.42797541,0.898571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/02/2014,2,21886,5.272598922,4.39597691,0,0,0,0,0,0,0,0,0.134857964,0,0,0.248651305,-6.571428571,0,0,0,0,0,6.394611979,0,33.55730571,2.344285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/02/2014,2,49485.5,4.599945439,4.629773375,0,0,0,0,0,0,0.108729102,0,0.05779627,0,0,0.248651305,-6.071428571,0,0,0,0,0,5.58780831,0,39.80237904,2.098333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/02/2014,2,64863,4.46140789,5.059966216,0,0,0,0,0,0,0.152220742,0,0,0,0,0,-5.571428571,0,0,0,0,0,7.016301317,0,17.70771852,3.052857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/03/2014,3,67408.1,4.422309782,5.066989153,0,0,0,0,0,0,0.152220742,0,0,0,0,0,-5.07755102,0,0,0,0,0,7.17879311,0,22.30126467,3.651428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
08/03/2014,3,92466.6,3.398686661,5.077797554,0,0.253861289,0,0,0,0,0.355405804,0,0,0,0,0,-4.657142857,0,0,0,0,0,7.975475936,0,20.5680512,3.227857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15/03/2014,3,51953,3.533026004,4.482442863,0,0,0,0,0,0,0.152316773,0,0.112466763,0,0,0,-4.257142857,0,0,0,0,0,9.16029912,0,3.207340648,5.062857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22/03/2014,3,24162.8,4.974895294,4.399867094,0,0,0,0,0,0,0,0,0.131211224,0,0,0,-3.857142857,0,0,0,0,0,9.074150182,0,15.29249289,4.116666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29/03/2014,3,26624.8,5.013232024,4.398776309,0,0,0,0,0,0,0,0,0.131211224,0,0,0,-3.457142857,0,0,0,0,0,7.601570617,0,11.83628527,4.857857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05/04/2014,4,51724.7,4.527974063,4.619278513,0,0,0,0,0,0,0.094899412,0,0,0,0,0,-3.081632653,0,0,0,0,0,11.27142591,0,9.50279673,1.931428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12/04/2014,4,63966.8,4.396957484,4.982935121,0,0,0,0,0,0,0.16607397,0,0,0,0,0,-3,0,0,0,0,29125,10.89089062,0,14.32348528,4.476428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19/04/2014,4,75415.3,4.411847463,5.064398485,0,0,0,0,0,0,0.16607397,0,0,0,0,0,-3,0,0,0,0,29125,10.9496898,0,3.090521304,8.575652174,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26/04/2014,4,35860.6,4.689890855,2.646744748,0,0,0,0,0,0,0.047449706,0,0,0.272789834,0,0,-3,0,0,0,0,29125,11.85134333,0,20.12439024,4.051428571,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
